施設名称,所在地,備考,緯度,経度
荏原平塚学園,東京都品川区平塚3-16-26,"品川区平塚3-16-26 電話　3782-7770 小中一貫校「荏原平塚学園」 平塚小学校と荏原平塚中学校を併設",35.6157510,139.7099159
産業技術大学院大学,東京都品川区東大井1-10-40,品川区東大井1-10-40,35.6071249,139.7491044
品川学園,東京都品川区北品川3-9-30,"北品川3-9-30　電話　3474-2671小中一貫校「品川学園」 品川小学校と城南中学校併設",35.6181701,139.7384663
アートチャイルドケア目黒,東京都品川区上大崎2-10-33,"上大崎2-10-33コミュニティースペース目黒3階電話:6408-0415最寄り駅JR線目黒駅",35.6353874,139.7170692
アスク不動前保育園,東京都品川区西五反田4-1-10,"西五反田4-1-10アーバンハイム不動前1階電話:5759-8015最寄り駅東急目黒線不動前駅",35.6280393,139.7121873
こぐま保育園,東京都品川区旗の台2-7-17,"旗の台2-7-17電話:3783-0880最寄り駅東急大井町線旗の台駅",35.6062879,139.7041430
こっこる,東京都品川区西五反田2-10-8,"西五反田2-10-8ドルミ西五反田ドゥメゾン211電話:5740-6971最寄り駅JR線五反田駅",35.6270479,139.7208405
さくら大崎保育園,東京都品川区大崎2-9-4,"大崎2-9-4大崎ウエストシティタワーズ電話:5745-5500最寄り駅JR線大崎駅",35.6166532,139.7277528
しながわがくどうえん,東京都品川区戸越1-21-14,"戸越1-21-14電話:3781-4871最寄り駅東急池上線戸越銀座駅",35.6151784,139.7214889
小学館アカデミーアトレ大井町,東京都品川区大井1-1-1,"大井1-1-1アトレ大井町2　3階電話:5718-3301最寄り駅JR線大井町駅",35.6076547,139.7346818
小学館アカデミーおおさき駅前,東京都品川区大崎1-2-3,,35.6228732,139.7268218
小学館アカデミーむさしこやま,東京都品川区小山3-27-5,,35.6197237,139.7032985
たんぽぽ保育所東大井園,東京都品川区東大井2-12-18,"東大井2-12-19Mkビル2階電話:3765-2511最寄り駅京浜急行線鮫洲駅",35.6021512,139.7400291
TKチルドレンズファーム上大崎,東京都品川区上大崎3-14-35,"上大崎3-14-35山手ビル1階電話:5422-9798最寄り駅JR線五反田駅",35.6293901,139.7197374
TKチルドレンズファーム東大井,東京都品川区東大井3-18-13,,35.5994747,139.7383127
パレット保育園不動前,東京都品川区西五反田5-12-1,"西五反田5-12-1不動前駅2階電話:5719-1149最寄り駅東急目黒線不動前駅",35.6256268,139.7137496
ひよこの家保育園,東京都品川区大崎4-6-3,"大崎4-6-3ファシネス・ハイツ2階電話:5437-5536最寄り駅JR線大崎駅",35.6196151,139.7233036
ポピンズ東五反田,東京都品川区東五反田2-10-1,"東五反田2-10-1パークタワーグランスカイ2階電話:5475-2110最寄り駅JR線五反田駅",35.6239195,139.7268672
ポピンズ東品川,東京都品川区東品川4-12-12,"東品川4-12-12電話:5796-2103最寄り駅りんかい線品川シーサイド駅",35.6075300,139.7489283
めだか保育園,東京都品川区東大井3-22-2,,35.5999831,139.7359422
ゆらりん東品川保育園,東京都品川区東品川3-7-11,"東品川3-7-10　ATG　Park東品川1階電話:6433-2822最寄り駅京浜急行線新馬場駅",35.6162943,139.7474503
ルーチェ保育園南品川,東京都品川区南品川2-4-7,"南品川2-4-7アサミビル1階電話:5460-5420最寄り駅京浜急行線青物横丁駅",35.6106478,139.7424651
アスク南大井,東京都品川区南大井6-22-7,"南大井6-22-7電話:5767-9700最寄り駅京浜東北線大森駅",35.5891868,139.7321784
大井町のぞみ,東京都品川区二葉1-12-18,"二葉1-12-18電話:5751-2031最寄り駅東急大井町線下神明駅",35.6068475,139.7268257
キッズタウンにしおおい,東京都品川区西大井2-5-21,"西大井2-5-21電話:5718-1332最寄り駅横須賀線西大井駅",35.5993503,139.7216212
グローバルキッズ荏原町,東京都品川区中延5-2-1,"中延5-2-1電話:3788-0404最寄り駅東急大井町線荏原町駅",35.6037659,139.7073356
グローバルキッズ戸越園,東京都品川区戸越5-14-23,"戸越5-14-23電話:3786-0808最寄り駅東急池上線荏原中延駅",35.6105561,139.7151913
とうかいどう,東京都品川区南品川1-2-11,"南品川1-2-11電話:5479-2201最寄り駅京浜急行線新馬場駅",35.6162103,139.7432569
にじいろ保育園大崎,東京都品川区大崎5-4-3,"大崎5-4-3電話:6417-0486最寄り駅JR山手線大崎駅",35.6231529,139.7252136
まなびの森保育園大崎広小路,東京都品川区西五反田1-21-8,"西五反田1-21-8電話:5434-1044最寄り駅東急池上線大崎広小路駅",35.6229228,139.7235350
みずなら,東京都品川区東品川3-21-10,"東品川3-21-10電話:5781-3707最寄り駅りんかい線品川シーサイド駅",35.6132438,139.7473748
みどりの丘,東京都品川区西大井4-19-11,"西大井4-19-11電話:6303-7091最寄り駅JR横須賀線西大井駅",35.5939552,139.7191813
都立品川特別支援学校,東京都品川区南品川6-15-20,南品川6-15-20,35.6094196,139.7379809
あいのもり,東京都品川区大井1-16-2,"大井1-16-2 電話:3772-7571最寄り駅:JR線大井町駅",35.6076290,139.7301940
うみのくに保育園とごし,東京都品川区戸越1-19-18,"戸越1-19-18エスト戸越2階 電話:6426-2692 最寄り駅:都営地下鉄戸越駅",35.6147529,139.7200975
アンジェリカはまかわ,東京都品川区東大井3-18-2,"東大井3-18-2 電話:6420-0544 最寄り駅京浜急行線立会川駅",35.6006171,139.7385083
グローバルキッズ大崎園,東京都品川区北品川5-9-15,"北品川5-9-15電話:3643-0404最寄り駅JR線大崎駅",35.6188099,139.7344056
ココファン・ナーサリー大崎,東京都品川区大崎3-6-31,"大崎3-6-32電話:6431-1861最寄り駅JR線大崎駅",35.6203247,139.7265176
ベネッセ大崎広小路保育園,東京都品川区大崎4-1-2,"大崎4-1-2電話:5766-9813最寄り駅東急池上線大崎広小路駅",35.6225762,139.7228611
荏原西第二保育園,東京都品川区荏原4-5-22,"品川区荏原4-5-22電話:3781-8917併設:平塚幼稚園(あわせて平塚すこやか園)最寄り駅:東急目黒線武蔵小山駅",35.6150701,139.7076753
小野学園幼稚園,東京都品川区西大井1-6-13,品川区西大井1-6-13,35.6023399,139.7265283
BunBu学院Jr 戸越園,東京都東京都品川区戸越5-4-3,"備考 戸越5-4-3　アズ品川202電話 03-6451-3655最寄り駅 東急大井町線戸越公園駅",35.6107691,139.7173215
グローバルキッズ中延園,東京都品川区中延4-5-7,"品川区中延4-5-7 スタイリオ中延駅前ビル2階電話：3788-1525最寄駅：東急大井町線中延駅",35.6055157,139.7126809
ポピンズナーサリースクール西五反田,東京都品川区西五反田8-10-8,"西五反田8-10-8電話：5436-2181最寄駅：東急池上線大崎広小路駅",35.6195857,139.7195014
アンジェリカ東品川保育園,東京都品川区東品川4-8-8,"品川区東品川4-8-8 新幹ビル1階電話：6433-3065最寄駅：京浜急行線青物横丁駅",35.6094392,139.7458530
大崎ひまわり保育園,東京都品川区大崎3-1-9,"品川区大崎3-1-9電話：3495-7600最寄駅：東急池上線大崎広小路駅",35.6211136,139.7247181
グローバルキッズ西大井園,東京都品川区西大井6-6-2,"品川区西大井6-6-2電話：5742-8525最寄駅：JR横須賀線西大井駅",35.6013955,139.7199764
ウィズブック保育園天王洲,東品川2-5-5　ハーバーワンビル1階,電話03-6671-9396,35.6211610,139.7494102
ココファン・ナーサリー旗の台,東京都品川区旗の台3-7-2,電話03-5749-5101,35.6041741,139.7068953
太陽の子南品川保育園,東京都品川区南品川5-3-10,電話03-5715-7707,35.6117375,139.7417038
豊葉の杜学園,東京都品川区二葉1-3-40,品川区二葉1-3-40,35.6073523,139.7254991
御殿山幼稚園・五反田第二保育園,東京都品川区北品川5-3-1,"幼稚園　電話：03-5795-1523
保育園　電話：03-5795-1522",35.6227972,139.7317407
キッズガーデン品川上大崎,東京都品川区上大崎4-5-37,電話：03-6431-9273,35.6284110,139.7156819
学研こども園,東京都品川区西五反田2-11-8,電話：03-6431-1300,35.6272671,139.7203377
御殿山小学校,東京都品川区北品川5-2-6,品川区北品川5-2-6,35.6233483,139.7322907
