項番,大項目,中項目,施設名,所在地,緯度,経度,電話番号,駐車場,施設概要,備考,リンク先URL
11,子育て・教育,認可保育所,私立東たいてん保育園,東村山市多摩湖1-14-2,35.762023,139.448503,042-394-4353,9台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/higashitaiten/index.html
12,子育て・教育,認可保育所,私立ふじみ保育園,東村山市富士見町2-7-5,35.740203,139.452535,042-394-9936,無し,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/fujimihoikuen/index.html
13,子育て・教育,認可保育所,私立わくわく保育園,東村山市久米川町1-38-4,35.768113,139.485271,042-396-9022,5台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/wakuwakuhoikuen/index.html
14,子育て・教育,認可保育所,私立りんごっこ保育園(本園),東村山市恩多町1-55-7,35.751795,139.48854,042-394-2327,5台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/ringokkohoikuen/index.html
15,子育て・教育,認可保育所,私立りんごっこ保育園(分園),東村山市栄町1-18-5,35.749405,139.477460,042-394-2327,4台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/ringokkohoikuen/index.html
16,子育て・教育,認可保育所,私立つばさ保育園,東村山市本町2-22-3,35.759199,139.469014,042-395-2506,6台(幼児教室すずめ兼用),,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/tsubasahoikuen/index.html
17,子育て・教育,認可保育所,私立ほんちょう保育園,東村山市本町3-43-1,35.755568,139.470485,042-399-2100,4台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/honchouhoikuen/index.html
18,子育て・教育,認可保育所,私立八国山保育園(本園),東村山市野口町1-5-6,35.764115,139.465775,042-391-0128,2台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/hachikokuyamahoikuen/index.html
19,子育て・教育,認可保育所,私立八国山保育園(分園),東村山市野口町1-6-10-1F,35.764323,139.464898,042-391-0197,無し,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/hachikokuyamahoikuen/index.html
20,子育て・教育,認可保育所,私立青葉さくら保育園,東村山市青葉町1-7-68,35.757831,139.49177,042-390-1190,15台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/aobasakurahoikuen/index.html
21,子育て・教育,認可保育所,私立あいあい保育園,東村山市久米川町2-44-2,35.766438,139.481603,042-398-5131,2台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/aiaihoikuen/index.html
22,子育て・教育,認可保育所,私立東村山むさしの保育園(東村山むさしの第二認定こども園),東村山市廻田町2-14-1,35.754575,139.449009,042-394-4536,50台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/musashinohoikuen/index.html
23,子育て・教育,認可保育所,いづみ愛児園,東村山市栄町1-37-28,35.751425,139.477836,042-395-0739,3台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/idumiaijien/index.html
