"ID","緯度","経度","名称","郵便番号","住所,電話番号","予定定員","小学校区","設置形態","基本時間","土曜日・春夏冬休み期間","延長保育","土曜日・春夏冬休み期間","休館日"
22,35.607778,139.379528,南大沢（第1第2クラブ）,192-0364,東京都八王子市南大沢3-8-1,042-674-0109,98名,柏木小学校,学校外施設,下校時～18時51分,8時30分～18時51分,18時30分～19時51分,8時～8時30分・18時30分～19時51分,日曜日・祝日・年末年始（12月29日～1月24日）
23,35.671723,139.358624,石川（第1第2クラブ）,192-0032,東京都八王子市石川町1920,042-648-3366,110名,第八小学校,学校外施設,下校時～18時52分,8時30分～18時52分,18時30分～19時52分,8時～8時30分・18時30分～19時52分,日曜日・祝日・年末年始（12月29日～1月25日）
24,35.676105,139.319463,清水小（第1第2クラブ）,192-0042,東京都八王子市中野山王3-25-1,042-626-4591,109名,清水小学校,学校余裕教室,下校時～18時53分,8時30分～18時53分,18時30分～19時53分,8時～8時30分・18時30分～19時53分,日曜日・祝日・年末年始（12月29日～1月26日）
25,35.690933,139.248317,美山小,192-0152,東京都八王子市美山町1892,042-652-0297,41名,美山小学校,学校敷地内プレハブ,下校時～18時54分,8時30分～18時54分,18時30分～19時54分,8時～8時30分・18時30分～19時54分,日曜日・祝日・年末年始（12月29日～1月27日）
26,35.608239,139.374464,南大沢西,192-0364,東京都八王子市南大沢4-18,042-679-4312,49名,南大沢小学校,学校敷地内プレハブ,下校時～18時55分,8時30分～18時55分,18時30分～19時55分,8時～8時30分・18時30分～19時55分,日曜日・祝日・年末年始（12月29日～1月28日）
27,35.658743,139.308348,千人町（第1第2クラブ）,193-0835,東京都八王子市千人町3-7-7,042-662-5673,87名,第五小学校,学校敷地内プレハブ,下校時～18時56分,8時30分～18時56分,18時30分～19時56分,8時～8時30分・18時30分～19時56分,日曜日・祝日・年末年始（12月29日～1月29日）
28,35.685972,139.360243,久保山（第1第2クラブ）,192-0023,東京都八王子市久保山町1-20-6,042-692-2019,86名,宇津木台小学校,学校外施設,下校時～18時57分,8時30分～18時57分,18時30分～19時57分,8時～8時30分・18時30分～19時57分,日曜日・祝日・年末年始（12月29日～1月30日）
29,35.686699,139.354188,久保山（第3クラブ）,192-0023,東京都八王子市久保山町2-18,042-692-5058,35名,宇津木台小学校,学校余裕教室,下校時～18時58分,8時30分～18時58分,18時30分～19時58分,8時～8時30分・18時30分～19時58分,日曜日・祝日・年末年始（12月29日～1月31日）
30,35.631311,139.346115,片倉台,192-0914,東京都八王子市片倉町1318,042-637-9220,48名,片倉台小学校,学校余裕教室,下校時～18時59分,8時30分～18時59分,18時30分～19時59分,8時～8時30分・18時30分～19時59分,日曜日・祝日・年末年始（12月29日～1月32日）
31,35.621149,139.396106,まつぎ（第1第2クラブ）,192-0363,東京都八王子市別所1-29-2,042-676-7241,90名,松木小学校,学校外施設,下校時～18時60分,8時30分～18時60分,18時30分～19時60分,8時～8時30分・18時30分～19時60分,日曜日・祝日・年末年始（12月29日～1月33日）
32,35.621235,139.379788,下柚木（第1第2クラブ）,192-0372,東京都八王子市下柚木3-4-1,042-677-3553,91名,下柚木小学校,学校外施設,下校時～18時61分,8時30分～18時61分,18時30分～19時61分,8時～8時30分・18時30分～19時61分,日曜日・祝日・年末年始（12月29日～1月34日）
33,35.611208,139.386438,長池（第1クラブ）,192-0363,東京都八王子市別所1-45-3,042-670-3631,70名,長池小学校,学校外施設,下校時～18時62分,8時30分～18時62分,18時30分～19時62分,8時～8時30分・18時30分～19時62分,日曜日・祝日・年末年始（12月29日～1月35日）
34,35.610761,139.388441,長池（第2クラブ）,192-0363,東京都八王子市別所1-55,042-679-4664,60名,長池小学校,学校敷地内プレハブ,下校時～18時63分,8時30分～18時63分,18時30分～19時63分,8時～8時30分・18時30分～19時63分,日曜日・祝日・年末年始（12月29日～1月36日）
35,35.632163,139.324836,みなみ野（第1クラブ）,192-0916,東京都八王子市みなみ野1-9-3,042-635-0014,70名,みなみ野小学校,学校外施設,下校時～18時64分,8時30分～18時64分,18時30分～19時64分,8時～8時30分・18時30分～19時64分,日曜日・祝日・年末年始（12月29日～1月37日）
36,35.631322,139.330969,みなみ野（第2クラブ）,192-0916,東京都八王子市みなみ野1-1-1,042-635-3321,50名,みなみ野小学校,学校外施設,下校時～18時65分,8時30分～18時65分,18時30分～19時65分,8時～8時30分・18時30分～19時65分,日曜日・祝日・年末年始（12月29日～1月38日）
37,35.666201,139.343628,第十小（第1第2クラブ）,192-0045,東京都八王子市大和田町7-5-1,042-644-8744,136名,第十小学校,学校余裕教室,下校時～18時66分,8時30分～18時66分,18時30分～19時66分,8時～8時30分・18時30分～19時66分,日曜日・祝日・年末年始（12月29日～1月39日）
38,35.671283,139.304343,元八王子東小（第1第2クラブ）,193-0815,東京都八王子市叶谷町1521,042-627-1245,74名,元八王子東小学校,学校余裕教室,下校時～18時67分,8時30分～18時67分,18時30分～19時67分,8時～8時30分・18時30分～19時67分,日曜日・祝日・年末年始（12月29日～1月40日）
39,35.700458,139.316116,加住小,192-0004,東京都八王子市加住町1-170-2,042-692-0150,70名,加住小学校,学校外施設,下校時～18時68分,8時30分～18時68分,18時30分～19時68分,8時～8時30分・18時30分～19時68分,日曜日・祝日・年末年始（12月29日～1月41日）
40,35.628401,139.350737,高嶺小（第1第2クラブ）,192-0913,東京都八王子市北野台4-21-1,042-637-4146,74名,高嶺小学校,学校余裕教室,下校時～18時69分,8時30分～18時69分,18時30分～19時69分,8時～8時30分・18時30分～19時69分,日曜日・祝日・年末年始（12月29日～1月42日）
41,35.62006,139.321857,七国小（第1第2クラブ）,192-0919,東京都八王子市七国6-42-1,042-637-5441,114名,七国小学校,学校外施設,下校時～18時70分,8時30分～18時70分,18時30分～19時70分,8時～8時30分・18時30分～19時70分,日曜日・祝日・年末年始（12月29日～1月43日）
42,35.661662,139.321919,八木町（第1第2クラブ）,192-0055,東京都八王子市八木町7-1,042-626-5234,100名,第二小学校,学校余裕教室,下校時～18時71分,8時30分～18時71分,18時30分～19時71分,8時～8時30分・18時30分～19時71分,日曜日・祝日・年末年始（12月29日～1月44日）
43,35.636571,139.337257,由井かたくら,192-0917,東京都八王子市西片倉1-14-1,042-636-7784,60名,由井第二小学校,学校外施設,下校時～18時72分,8時30分～18時72分,18時30分～19時72分,8時～8時30分・18時30分～19時72分,日曜日・祝日・年末年始（12月29日～1月45日）
44,35.670864,139.325107,第九小（第1第2クラブ）,192-0041,東京都八王子市中野上町2-14-1,042-623-4230,71名,第九小学校,学校余裕教室,下校時～18時73分,8時30分～18時73分,18時30分～19時73分,8時～8時30分・18時30分～19時73分,日曜日・祝日・年末年始（12月29日～1月46日）
45,35.615972,139.368912,上柚木小,192-0373,東京都八王子市上柚木3-15,042-677-6675,70名,上柚木小学校,学校余裕教室,下校時～18時74分,8時30分～18時74分,18時30分～19時74分,8時～8時30分・18時30分～19時74分,日曜日・祝日・年末年始（12月29日～1月47日）
46,35.642471,139.36546,長沼（第1第2クラブ）,192-0907,東京都八王子市長沼町707-3,042-636-2479,76名,長沼小学校,学校余裕教室,下校時～18時75分,8時30分～18時75分,18時30分～19時75分,8時～8時30分・18時30分～19時75分,日曜日・祝日・年末年始（12月29日～1月48日）
47,35.62567,139.35844,中山小,192-0374,東京都八王子市中山1155,042-635-4051,39名,中山小学校,学校敷地内プレハブ,下校時～18時76分,8時30分～18時76分,18時30分～19時76分,8時～8時30分・18時30分～19時76分,日曜日・祝日・年末年始（12月29日～1月49日）
48,35.662925,139.277923,城山（第1クラブ）,193-0826,東京都八王子市元八王子町2-3351-15,042-663-6094,51名,城山小学校,学校外施設,下校時～18時77分,8時30分～18時77分,18時30分～19時77分,8時～8時30分・18時30分～19時77分,日曜日・祝日・年末年始（12月29日～1月50日）
49,35.659114,139.277682,城山（第2クラブ）,193-0826,東京都八王子市元八王子町2-1767,042-664-3988,39名,城山小学校,学校余裕教室,下校時～18時78分,8時30分～18時78分,18時30分～19時78分,8時～8時30分・18時30分～19時78分,日曜日・祝日・年末年始（12月29日～1月51日）
50,35.670201,139.25493,恩方西（第1第2クラブ）,192-0154,東京都八王子市下恩方町1369,042-651-1154,100名,恩方第一小学校,学校敷地内プレハブ,下校時～18時79分,8時30分～18時79分,18時30分～19時79分,8時～8時30分・18時30分～19時79分,日曜日・祝日・年末年始（12月29日～1月52日）
51,35.683702,139.367681,小宮小（第1第2クラブ）,192-0031,東京都八王子市小宮町1128-3,042-645-3223,131名,小宮小学校,学校敷地内プレハブ,下校時～18時80分,8時30分～18時80分,18時30分～19時80分,8時～8時30分・18時30分～19時80分,日曜日・祝日・年末年始（12月29日～1月53日）
52,35.675571,139.307395,楢原小,193-0803,東京都八王子市楢原町1287-2,042-626-1788,60名,楢原小学校,学校余裕教室,下校時～18時81分,8時30分～18時81分,18時30分～19時81分,8時～8時30分・18時30分～19時81分,日曜日・祝日・年末年始（12月29日～1月54日）
53,35.671752,139.288488,弐分方小（第1第2クラブ）,193-0822,東京都八王子市弐分方町520-1,042-626-6760,86名,弐分方小学校,学校余裕教室,下校時～18時82分,8時30分～18時82分,18時30分～19時82分,8時～8時30分・18時30分～19時82分,日曜日・祝日・年末年始（12月29日～1月55日）
54,35.662352,139.365746,高倉小,192-0033,東京都八王子市高倉町67-2,042-642-8163,69名,高倉小学校,学校敷地内プレハブ,下校時～18時83分,8時30分～18時83分,18時30分～19時83分,8時～8時30分・18時30分～19時83分,日曜日・祝日・年末年始（12月29日～1月56日）
55,35.643412,139.286764,東浅川小,193-0834,東京都八王子市東浅川町550-22,042-662-2929,69名,東浅川小学校,学校敷地内プレハブ,下校時～18時84分,8時30分～18時84分,18時30分～19時84分,8時～8時30分・18時30分～19時84分,日曜日・祝日・年末年始（12月29日～1月57日）
56,35.63344,139.407941,由木東小（第1第2クラブ）,192-0351,東京都八王子市東中野1347,042-677-5086,86名,由木東小学校,学校敷地内プレハブ,下校時～18時85分,8時30分～18時85分,18時30分～19時85分,8時～8時30分・18時30分～19時85分,日曜日・祝日・年末年始（12月29日～1月58日）
57,35.651381,139.34502,子安（第1クラブ）,192-0904,東京都八王子市子安町1-37-1,042-648-5643,51名,第六小学校,学校外施設,下校時～18時86分,8時30分～18時86分,18時30分～19時86分,8時～8時30分・18時30分～19時86分,日曜日・祝日・年末年始（12月29日～1月59日）
58,35.65015,139.342623,子安（第2クラブ）,192-0904,東京都八王子市子安町2-19-1,042-644-9939,69名,第六小学校,学校敷地内プレハブ,下校時～18時87分,8時30分～18時87分,18時30分～19時87分,8時～8時30分・18時30分～19時87分,日曜日・祝日・年末年始（12月29日～1月60日）
59,35.636654,139.30226,椚田小（第1第2クラブ）,193-0942,東京都八王子市椚田町571-2,042-666-9649,81名,椚田小学校,学校余裕教室,下校時～18時88分,8時30分～18時88分,18時30分～19時88分,8時～8時30分・18時30分～19時88分,日曜日・祝日・年末年始（12月29日～1月61日）
60,35.636915,139.306318,椚田小（第3クラブ）,193-0942,東京都八王子市椚田町554-11,042-664-2512,50名,椚田小学校,学校外施設,下校時～18時89分,8時30分～18時89分,18時30分～19時89分,8時～8時30分・18時30分～19時89分,日曜日・祝日・年末年始（12月29日～1月62日）
61,35.627836,139.325109,みなみ野君田小（第1第2クラブ）,192-0916,東京都八王子市みなみ野4-3-1,042-635-4343,103名,みなみ野君田小学校,学校敷地内プレハブ,下校時～18時90分,8時30分～18時90分,18時30分～19時90分,8時～8時30分・18時30分～19時90分,日曜日・祝日・年末年始（12月29日～1月63日）
62,35.623137,139.361401,由木西小,192-0373,東京都八王子市上柚木538-1,042-679-0901,30名,由木西小学校,学校余裕教室,下校時～18時91分,8時30分～18時91分,18時30分～19時91分,8時～8時30分・18時30分～19時91分,日曜日・祝日・年末年始（12月29日～1月64日）
63,35.705542,139.250072,上川口小,192-0151,東京都八王子市上川町1099,042-654-0045,30名,上川口小学校,学校余裕教室,下校時～18時92分,8時30分～18時92分,18時30分～19時92分,8時～8時30分・18時30分～19時92分,日曜日・祝日・年末年始（12月29日～1月65日）
64,35.668419,139.30674,横川（第1第2クラブ）,193-0823,東京都八王子市横川町296-11,042-622-6200,79名,横川小学校,学校外施設,下校時～18時93分,8時30分～18時93分,18時30分～19時93分,8時～8時30分・18時30分～19時93分,日曜日・祝日・年末年始（12月29日～1月66日）
65,35.686642,139.297882,からまつ,193-0801,東京都八王子市川口町1557-2,042-654-3908,70名,松枝小学校,学校外施設,下校時～18時94分,8時30分～18時94分,18時30分～19時94分,8時～8時30分・18時30分～19時94分,日曜日・祝日・年末年始（12月29日～1月67日）
66,35.657994,139.345998,第四小（第1第2クラブ）,192-0046,東京都八王子市明神町2-15-1,042-646-9990,74名,第四小学校,学校敷地内プレハブ,下校時～18時95分,8時30分～18時95分,18時30分～19時95分,8時～8時30分・18時30分～19時95分,日曜日・祝日・年末年始（12月29日～1月68日）
67,35.6468,139.313606,山田小（第1第2クラブ）,193-0933 ,東京都八王子市山田町1553,042-662-8281,100名,山田小学校,学校敷地内プレハブ,下校時～18時96分,8時30分～18時96分,18時30分～19時96分,8時～8時30分・18時30分～19時96分,日曜日・祝日・年末年始（12月29日～1月69日）
68,35.647766,139.301574,散田小（第1第2クラブ）,193-0832,東京都八王子市散田町5-23-1,042-668-4004,102名,散田小学校,学校余裕教室,下校時～18時97分,8時30分～18時97分,18時30分～19時97分,8時～8時30分・18時30分～19時97分,日曜日・祝日・年末年始（12月29日～1月70日）
69,35.679692,139.263216,恩方東,192-0154,東京都八王子市下恩方町754-1,042-651-8079,70名,元木小学校,学校外施設,下校時～18時98分,8時30分～18時98分,18時30分～19時98分,8時～8時30分・18時30分～19時98分,日曜日・祝日・年末年始（12月29日～1月71日）
70,35.616149,139.372361,あたご,192-0373,東京都八王子市上柚木3-5-10,042-677-6427,68名,愛宕小学校,学校外施設,下校時～18時99分,8時30分～18時99分,18時30分～19時99分,8時～8時30分・18時30分～19時99分,日曜日・祝日・年末年始（12月29日～1月72日）
71,35.612686,139.363626,鑓水小（第1クラブ）,192-0375,東京都八王子市鑓水2-74,042-677-7688,70名,鑓水小学校,学校敷地内プレハブ,下校時～18時100分,8時30分～18時100分,18時30分～19時100分,8時～8時30分・18時30分～19時100分,日曜日・祝日・年末年始（12月29日～1月73日）
72,35.614713,139.364704,鑓水小（第2クラブ）,192-0375,東京都八王子市鑓水2-73,042-674-5921,70名,鑓水小学校,学校外施設,下校時～18時101分,8時30分～18時101分,18時30分～19時101分,8時～8時30分・18時30分～19時101分,日曜日・祝日・年末年始（12月29日～1月74日）
73,35.688142,139.306542,つくみ（第1第2クラブ）,193-0841,東京都八王子市犬目町44-1,042-621-1020,96名,陶鎔小学校,学校外施設,下校時～18時102分,8時30分～18時102分,18時30分～19時102分,8時～8時30分・18時30分～19時102分,日曜日・祝日・年末年始（12月29日～1月75日）
74,35.68254,139.311897,つくみ（第3クラブ）,193-0803,東京都八王子市楢原町980-33,042-621-1020,17名,陶鎔小学校,学校外施設,下校時～18時103分,8時30分～18時103分,18時30分～19時103分,8時～8時30分・18時30分～19時103分,日曜日・祝日・年末年始（12月29日～1月76日）
75,35.656976,139.288597,船田小（第1第2クラブ）,193-0824,東京都八王子市長房町1041-2,042-663-6829,112名,船田小学校,学校余裕教室,下校時～18時104分,8時30分～18時104分,18時30分～19時104分,8時～8時30分・18時30分～19時104分,日曜日・祝日・年末年始（12月29日～1月77日）
76,35.665591,139.354319,大和田小（第1第2クラブ）,192-0045 ,東京都八王子市大和田町4-19-1,042-645-0526,80名,大和田小学校,学校余裕教室,下校時～18時105分,8時30分～18時105分,18時30分～19時105分,8時～8時30分・18時30分～19時105分,日曜日・祝日・年末年始（12月29日～1月78日）
77,35.661693,139.339123,第一小,192-0063,東京都八王子市元横山町2-5-1,042-646-1141,65名,第一小学校,学校外施設,下校時～18時106分,8時30分～18時106分,18時30分～19時106分,8時～8時30分・18時30分～19時106分,日曜日・祝日・年末年始（12月29日～1月79日）
78,35.633921,139.304541,横山第一小（第1第2クラブ）,193-0944,東京都八王子市館町74,042-663-9687,130名,横山第一小学校,学校敷地内プレハブ,下校時～18時107分,8時30分～18時107分,18時30分～19時107分,8時～8時30分・18時30分～19時107分,日曜日・祝日・年末年始（12月29日～1月80日）
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
